日付,曜日,区分,フェーズ,Focus,午前,午後,夕方/夜,TOEIC,時間(h),進捗,今日の最重要タスク,メモ
2026-08-10,月,勉強,Phase 1,物理主戦場 + TOEIC習慣,解析力学Ⅱ,量子力学Ⅱ,電磁気,語彙+LC,6.5,,,
2026-08-11,火,勉強,Phase 1,物理主戦場 + TOEIC習慣,量子力学Ⅱ,解析力学Ⅱ,統計力学,語彙+LC,6.5,,,
2026-08-12,水,勉強,Phase 1,物理主戦場 + TOEIC習慣,解析力学Ⅱ,電磁気,固体物理,語彙+LC,6.5,,,
2026-08-13,木,勉強,Phase 1,物理主戦場 + TOEIC習慣,量子力学Ⅱ,統計力学,光学,語彙+LC,6.5,,,
2026-08-14,金,休養,Phase 1,完全休養,,,,休み,0,,,
2026-08-15,土,休養,Phase 1,完全休養,,,,休み,0,,,
2026-08-16,日,休養,Phase 1,完全休養,,,,休み,0,,,
2026-08-17,月,勉強,Phase 1,物理主戦場 + TOEIC習慣,解析力学Ⅱ,量子力学Ⅱ,電磁気,語彙+LC,6.5,,,
2026-08-18,火,勉強,Phase 1,物理主戦場 + TOEIC習慣,量子力学Ⅱ,解析力学Ⅱ,統計力学,語彙+LC,6.5,,,
2026-08-19,水,勉強,Phase 1,物理主戦場 + TOEIC習慣,解析力学Ⅱ,電磁気,固体物理,語彙+LC,6.5,,,
2026-08-20,木,勉強,Phase 1,物理主戦場 + TOEIC習慣,量子力学Ⅱ,統計力学,光学,語彙+LC,6.5,,,
2026-08-21,金,休養,Phase 1,完全休養,,,,休み,0,,,
2026-08-22,土,休養,Phase 1,完全休養,,,,休み,0,,,
2026-08-23,日,休養,Phase 1,完全休養,,,,休み,0,,,
2026-08-24,月,勉強,Phase 1,物理主戦場 + TOEIC習慣,解析力学Ⅱ,量子力学Ⅱ,電磁気,語彙+LC,6.5,,,
2026-08-25,火,勉強,Phase 1,物理主戦場 + TOEIC習慣,量子力学Ⅱ,解析力学Ⅱ,統計力学,語彙+LC,6.5,,,
2026-08-26,水,勉強,Phase 1,物理主戦場 + TOEIC習慣,解析力学Ⅱ,電磁気,固体物理,語彙+LC,6.5,,,
2026-08-27,木,勉強,Phase 1,物理主戦場 + TOEIC習慣,量子力学Ⅱ,統計力学,光学,語彙+LC,6.5,,,
2026-08-28,金,勉強,Phase 1,物理主戦場 + TOEIC習慣,解析力学Ⅱ,量子力学Ⅱ,制御,語彙+LC,6.5,,,
2026-08-29,土,勉強,Phase 1,物理主戦場 + TOEIC習慣,量子力学Ⅱ,電磁気,電磁気,語彙+LC,7,,,
2026-08-30,日,勉強,Phase 1,物理主戦場 + TOEIC習慣,解析力学Ⅱ,統計力学,統計力学,語彙+LC,7,,,
2026-08-31,月,勉強,Phase 1,物理主戦場 + TOEIC習慣,解析力学Ⅱ,量子力学Ⅱ,電磁気,語彙+LC,6.5,,,
2026-09-01,火,勉強,Phase 2,TOEIC強化 + 物理維持,量子力学Ⅱ,解析力学Ⅱ,統計力学,LC/RC/語彙,6.5,,,
2026-09-02,水,勉強,Phase 2,TOEIC強化 + 物理維持,解析力学Ⅱ,電磁気,固体物理,LC/RC/語彙,6.5,,,
2026-09-03,木,勉強,Phase 2,TOEIC強化 + 物理維持,量子力学Ⅱ,統計力学,光学,LC/RC/語彙,6.5,,,
